source,published,airdate,episode,sequence,song,artist,artist_slug,album,time,notes
wfit,no,2009-10-06,,10,Love Plus One,Haircut One Hundred,haircut-one-hundred,,,Dig the video.
wfit,no,2009-10-06,,11,BREAK
wfit,no,2009-10-06,,12,Ten More Minutes to Live,House of Freaks,house-of-freaks,,,What a racket
wfit,no,2009-10-06,,13,No. 13 Baby,Pixies,pixies,,,David Lovering is now a magician
wfit,no,2009-10-06,,14,1979 Semi-Finalist,The Bad Plus,bad-plus,,,"Not quite Bad Apple, but..."
wfit,no,2009-10-06,,15,BREAK
wfit,no,2009-10-06,,16,Six Feet Under Main Theme,Thomas Newman,thomas-newman,,,Were you running for the TV?
wfit,no,2009-10-06,,17,Apt. 23B,Laika & The Cosmonauts,laika-cosmonauts,,,Finnish it!
wfit,no,2009-10-06,,18,Sixteen Tons,Brave Combo,brave-combo,,,"Yes, that Sixteen Tons"
wfit,no,2009-10-06,,19,BREAK
wfit,no,2009-10-06,,20,Six Days On The Road,Junior Brown,junior-brown,,,The classic by Roger Miller
wfit,no,2009-10-06,,21,96 Tears,Question Mark and The Mysterians,question-mark-mysterians,,,That’s about 41 ml of tears.
wfit,no,2009-10-06,,22,The Seven Souls,Bill Laswell,bill-laswell,,,Unminstakable Billy Burroughs
wfit,no,2009-10-06,,23,BREAK
wfit,no,2009-10-06,,24,Forever 16,Stereo Total,stereo-total,,1:43,Like electro-shock therapy for my ears
wfit,no,2009-10-06,,25,68,bicycle,bicycle,,2:41,What’s that? Tiddilly?
wfit,no,2009-10-06,,26,19-2000,Gorillaz,gorillaz,,,The ground-breaking first album
wfit,no,2009-10-06,,27,Route 66 (Get Your Kicks On),The Cramps,cramps,,,"He’s sly, that Lux"
wfit,no,2009-10-06,,28,BREAK
wfit,no,2009-10-06,,29,"Dec 31, 0002",Zoobombs,zoobombs,,,Energy is a-droolin’ out of this one
wfit,no,2009-10-06,,30,One Angry Dwarf and 200 Solemn Faces,Ben Folds Five,ben-folds-five,,,"Tell us how it was, Ben"
wfit,no,2009-10-06,,31,3000,Dr. Octagon,dr-octagon,,,My favorite time-travelling alien gynecologist
wfit,no,2009-10-06,,32,BREAK
wfit,no,2009-10-06,,33,25 O'Clock,They Might Be Giants,they-might-be-giants,,,Originally by the Dukes of Stratosphear / XTC
wfit,no,2009-10-06,,34,99 Red Balloons,7 Seconds,7-seconds,,,"Oh, Nena."
wfit,no,2009-10-06,,35,Mambo No 5,Pérez Prado Orchestra,perez-prado-orchestra,,,Scurry about the living room with this one
wfit,no,2009-10-06,,36,BREAK
wfit,no,2009-10-06,,37,Barry 7's Contraption,Add N To (X),add-n-to-x,,,Ahead of their own curve
wfit,no,2009-10-06,,38,One Step Ahead,Split Enz,split-enz,,2:53,New Zealand is the place
wfit,no,2009-10-06,,39,Eighties,Killing Joke,killing-joke,,3:37,"Big ending, folks!"
wfit,no,2009-10-06,,40,50 Ft. Queenie,PJ Harvey,pj-harvey,,,"Oct 6, 2009 2:49 1014000010/"
wfit,no,2009-10-06,,41,BREAK
wfit,no,2009-10-06,,42,30 Lashes,Six Finger Satellite,six-finger-satellite,,,"Oct 6, 2009 2:26 876000010/"
wfit,no,2009-10-06,,43,12XU,Minor Threat,minor-threat,,1:04,"Oct 6, 2009 1:04 384000010/"
wfit,no,2009-10-06,,44,19 20 20,The Grates,grates,,,"Oct 6, 2009 2:05 750000010/"
wfit,no,2009-10-06,,45,Mondo '77,Looper,looper,,,"Oct 6, 2009 4:57 1782000010/"
wfit,no,2009-10-06,,46,BREAK
wfit,no,2009-10-06,,47,"May 9, 1978",Boards of Canada,boards-of-canada,,,"Oct 6, 2009 4:10 1500000010/"
wfit,no,2009-10-13,,1,Book Of Love,Soft Boys,soft-boys,,,From the Live at the Portland Arms album
wfit,no,2009-10-13,,2,BREAK
wfit,no,2009-10-13,,3,Mad Lucas,The Breeders,breeders,,,Slow and fuzzy
wfit,no,2009-10-13,,4,What Do I Get?,The Buzzcocks,buzzcocks,,,Can this song be any faster?
wfit,no,2009-10-13,,5,Like An Arrow,Lavender Diamond,lavender-diamond,,,Featuring a connection to Paul Laffoley
wfit,no,2009-10-13,,6,BREAK
wfit,no,2009-10-13,,7,Dark Horse,Darediablo,darediablo,,,Relentlessy
wfit,no,2009-10-13,,8,We're Building A Rusty Shack,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,0:57,Something
wfit,no,2009-10-13,,9,Static Friction,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,,like
wfit,no,2009-10-13,,10,I Gave You My Back,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,,Abbey Road
wfit,no,2009-10-13,,11,Probably Newspaper Smiles,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,,but
wfit,no,2009-10-13,,12,Little Piece Of Second Best,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,,five minutes
wfit,no,2009-10-13,,13,Mabeline The Disco Queen,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,,long
wfit,no,2009-10-13,,14,Run On,Moby,moby,,,"When I hear Moby, I think of buying something"
wfit,no,2009-10-13,,15,BREAK
wfit,no,2009-10-13,,16,Liebe zu dritt,Stereo Total,stereo-total,,,I believe it’s about threesomes in German
wfit,no,2009-10-13,,17,Ride On And Turn People On,Finley Quaye,finley-quaye,,,Thieve the sweet potato
wfit,no,2009-10-13,,18,Little Birdy,Ween,ween,,,It makes me feel woozy
wfit,no,2009-10-13,,19,Jackson Cannery,Ben Folds Five,ben-folds-five,,3:24,Firsty first
wfit,no,2009-10-13,,20,BREAK
wfit,no,2009-10-13,,21,Las Paya No Puen Entra Al Lowen,Rakel Winchester,rakel-winchester,,,"Damn, she’s a trash talker"
wfit,no,2009-10-13,,22,Copa 7 No Samba,Copa 7,copa-7,,,From the first Black Rio album
wfit,no,2009-10-13,,23,Composure,A Big Yes And A Small No,a-big-yes-a-small-no,,,Rocking like a baby
wfit,no,2009-10-13,,24,Honey In The Sun,Camera Obscura,camera-obscura,,5:45,So very Scottish
wfit,no,2009-10-13,,25,BREAK
wfit,no,2009-10-13,,26,Dimmer,Bishop Allen,bishop-allen,,,Hard to disagree
wfit,no,2009-10-13,,27,Rarotonga,Café Tacuba,cafe-tacuba,,,Frantic Mexi-ska
wfit,no,2009-10-13,,28,James Bond Theme,Fanfare Ciocarlia,fanfare-ciocarlia,,,"If they used this theme, I’d see a James Bond movie"
wfit,no,2009-10-13,,29,Ecru,Ken Nordine,ken-nordine,,,"Fallen out of favor lately, that ecru"
wfit,no,2009-10-13,,30,BREAK
wfit,no,2009-10-13,,31,Beanfields,Penguin Cafe Orchestra,penguin-cafe-orchestra,,,Live!
wfit,no,2009-10-13,,32,Paste,Pluto,pluto,,,From Canadia
wfit,no,2009-10-13,,33,Superstar,Self,self,,,It’s solipsism time
wfit,no,2009-10-13,,34,BREAK
wfit,no,2009-10-13,,35,1958 (Skalpel Remix),Skalpel,skalpel,,,Kicky in’it?
wfit,no,2009-10-13,,36,Big D Boogie Woogie,Reverend Horton Heat,reverend-horton-heat,,,Another song about the Big D
wfit,no,2009-10-13,,37,Mentiras,Los Amigos Invisibles,los-amigos-invisibles,,,"Lies, all lies"
wfit,no,2009-10-13,,38,Come With Me,Marmoset,marmoset,,,"When you’re short on Pavement, Marmoset will do wonders"
wfit,no,2009-10-13,,39,BREAK
wfit,no,2009-10-13,,40,Cocoa,Assagai,assagai,,,Zone out in Africa
wfit,no,2009-10-13,,41,The Burn That Is On Me,Rebar,rebar,,,Only song of theirs I’ve ever heard... wish there was more
wfit,no,2009-10-13,,42,Physical World,Kudu,kudu,,6:29,"Yes, but can you dance to it?"
wfit,no,2009-10-13,,43,BREAK
wfit,no,2009-10-13,,44,Surprise Hotel,Fool's Gold,fool-s-gold,,,Some of that new afrobeat stuff
podcast,no,2009-10-20,0025,1,Propane,The Wrens,wrens,,,Intriguing and introductory
podcast,no,2009-10-20,0025,2,Soon,Japancakes,japancakes,,,One of the best songs ever
podcast,no,2009-10-20,0025,3,Dreamstate in the Mainframe,The Anubian Lights,anubian-lights,,,The only music allowed in my isolation tank
podcast,no,2009-10-20,0025,4,BREAK
podcast,no,2009-10-20,0025,5,Ponerte En Cuatro,Los Amigos Invisibles,los-amigos-invisibles,,,From the land of Chavez!
podcast,no,2009-10-20,0025,6,Felt Like a Dream,Applesaucer,applesaucer,,,Members now in the Lovemakers
podcast,no,2009-10-20,0025,7,Miracle Medicine,Jason Falkner,jason-falkner,,,Maestro on the four-track
podcast,no,2009-10-20,0025,8,BREAK
podcast,no,2009-10-20,0025,9,"I Love You, Hipster Darling",The Awkward Stage,awkward-stage,,,So terribly hipster sad.
podcast,no,2009-10-20,0025,10,Just Because It's Dying,Jenny Toomey,jenny-toomey,,,A Franklin Bruno gem
podcast,no,2009-10-20,0025,11,One Wild Moment,Stereolab,stereolab,,,From the Pastels tribute album
podcast,no,2009-10-20,0025,12,"Click, Click, Click, Click",Bishop Allen,bishop-allen,,,Inefctious
podcast,no,2009-10-20,0025,13,BREAK
podcast,no,2009-10-20,0025,14,Rien Venir,La Ruda Salska,la-ruda-salska,,,It’s in French -- don’t ask me!
podcast,no,2009-10-20,0025,15,Surf Machine,Spot 1019,spot-1019,,4:16,Gnarly gnarly gnarly
podcast,no,2009-10-20,0025,16,Our Happiness Is Guaranteed,Quasi,quasi,,,"Scratch that, this one is one of the best ever."
podcast,no,2009-10-20,0025,17,BREAK
podcast,no,2009-10-20,0025,18,Dazed And Chinese,Bongwater,bongwater,,,What? GI Joe?
wfit,no,2009-10-20,,1,Vegetable Man,The Soft Boys,soft-boys,,,The Syd Barrett classic
wfit,no,2009-10-20,,2,BREAK
wfit,no,2009-10-20,,3,You Told A Lie,Camera Obscura,camera-obscura,,,I just like to say “Glaswegian”
wfit,no,2009-10-20,,4,Ninja's Principality,"Up, Bustle & Out",up-bustle-out,,,Snaking its way through
wfit,no,2009-10-20,,5,EOL,Islands,islands,,,With the guy from the Unicorns
wfit,no,2009-10-20,,6,BREAK
wfit,no,2009-10-20,,7,Dun Dun,Los Amigos Invisibles,los-amigos-invisibles,,,It’s happiness in a shiny bottle
wfit,no,2009-10-20,,8,Folk Singer,Brendan Benson,brendan-benson,,,From 2003’s Lapalco
wfit,no,2009-10-20,,9,It's Raining Today,Angry Samoans,angry-samoans,,,Uncharacteristic! But playable.
wfit,no,2009-10-20,,10,Grace Kelly,Mika,mika,,,Channeling Freddy Mercury
wfit,no,2009-10-20,,11,BREAK
wfit,no,2009-10-20,,12,What Is Hip?,Tower of Power,tower-of-power,,,Drew Carey outdid himself with this number
wfit,no,2009-10-20,,13,Meg Ryan,Self,self,,,Another famous person song
wfit,no,2009-10-20,,14,Fools Gold,Stone Roses,stone-roses,,,Post new wave new wave
wfit,no,2009-10-20,,15,Dear Mr. & Mrs. Troublemaker,All Girl Summer Fun Band,all-girl-summer-fun-band,,,Typewriter music!
wfit,no,2009-10-20,,16,BREAK
wfit,no,2009-10-20,,17,Oh' Dear Handlebars,Marmoset,marmoset,,,It’s a thin line between sloppy and artful
wfit,no,2009-10-20,,18,And It Spread,The Avett Brothers,avett-brothers,,,From their new album
wfit,no,2009-10-20,,19,A Sunday Smile,Beirut,beirut,,,O so mournful
wfit,no,2009-10-20,,20,Horchata,Vampire Weekend,vampire-weekend,,,Call me an ambivalence!
wfit,no,2009-10-20,,21,BREAK
wfit,no,2009-10-20,,22,Doomsday,Elvis Perkins,elvis-perkins,,,Dig the warble
wfit,no,2009-10-20,,23,Slappy's Tune,Fingathing,fingathing,,,Mind the meander
wfit,no,2009-10-20,,24,Sideshow,Calexico,calexico,,,More carnival music
wfit,no,2009-10-20,,25,A Fish Called Selma,The Simpsons,simpsons,,,Who voiced Troy McClure’s agent?
wfit,no,2009-10-20,,26,BREAK
wfit,no,2009-10-20,,27,Suddenly,Bishop Allen,bishop-allen,,2:56,Smooth
wfit,no,2009-10-20,,28,The Story of One Chord,Mojo Nixon,mojo-nixon,,,FREE MOJO NIXON ON AMAZON! OMG
wfit,no,2009-10-20,,29,Honey Dub,Phase Selector Sound,phase-selector-sound,,,Can there really be a short dub song?
wfit,no,2009-10-20,,30,Nobody Knows You,OFFICE,office,,,"More free music, search for “office mecca”"
wfit,no,2009-10-20,,31,BREAK
wfit,no,2009-10-20,,32,Ojalá Que Llueva Café,Café Tacuba,cafe-tacuba,,,Going out to Drew
wfit,no,2009-10-20,,33,Ma And Pa,Fishbone,fishbone,,,Classic Fishbone
wfit,no,2009-10-20,,34,Them Kids,Sam Roberts,sam-roberts,,,"So frantic, Sam!"
wfit,no,2009-10-20,,35,BREAK
wfit,no,2009-10-20,,36,Metro (Brooklyn Mix),I Am The World Trade Center,i-am-world-trade-center,,,Dating back to 2000...
wfit,no,2009-10-20,,37,Lights Out,Angry Samoans,angry-samoans,,,Did you pluck your eyes out?
wfit,no,2009-10-20,,38,Blood Pt. 2,Buck 65 Remix (feat. Sufjan Stevens & Serengeti),buck-65-remix-feat-sufjan-stevens-serengeti,,,From the Dark Was The Night compilation
wfit,no,2009-10-20,,39,Simply Beautiful,Arto Lindsay,arto-lindsay,,,Simply understated
wfit,no,2009-10-20,,40,BREAK
wfit,no,2009-10-20,,41,"An Empire, A Sit-Com Set",hollAnd,holland,,,Get hypnotized for bed
wfit,no,2009-10-27,,1,25 Or 6 To 4,The Moog Cookbook,moog-cookbook,,,Also includes some Led Zeppelin and some Ventures
wfit,no,2009-10-27,,2,BREAK
wfit,no,2009-10-27,,3,Under The Waves,Heavy Trash,heavy-trash,,3:50,Jon Spencer in a moody mood
wfit,no,2009-10-27,,4,Spectacular,Graham Coxon,graham-coxon,,2:48,Unmistakably blurry
wfit,no,2009-10-27,,5,Jesus at McDonalds,Mojo Nixon,mojo-nixon,,,Goin’ out to Cory and the Windows 7 Whopper
wfit,no,2009-10-27,,6,BREAK
wfit,no,2009-10-27,,7,I Want To Be Sexy,Winterbrief,winterbrief,,,Yo quiero ser sexy!
wfit,no,2009-10-27,,8,Di Naie Chuppe,De Amsterdam Klezmer Band,de-amsterdam-klezmer-band,,,Warbly clarinets and all
wfit,no,2009-10-27,,9,Maddaddy,Pepe Deluxe,pepe-deluxe,,,Finnish him!
wfit,no,2009-10-27,,10,Into The White,Pixies,pixies,,,From the Monkey Gone To Heaven EP
wfit,no,2009-10-27,,11,BREAK
wfit,no,2009-10-27,,12,Love Is A Beautiful Thing,The Silos,silos,,,A tribute to the Young Fresh Fellows!
wfit,no,2009-10-27,,13,The Diggers' Waltz,Tommy Emmanuel,tommy-emmanuel,,,A break in pace
wfit,no,2009-10-27,,14,The Static's Beat,Ill Ease,ill-ease,,,Heavy stutter
wfit,no,2009-10-27,,15,BREAK
wfit,no,2009-10-27,,16,Numbers,Kraftwerk,kraftwerk,,,A cavalcade of incrementation!
wfit,no,2009-10-27,,17,Lunático,Gotan Project,gotan-project,,,Argentina via France
wfit,no,2009-10-27,,18,Count Five or Six,Cornelius,cornelius,,3:03,All the way to six
wfit,no,2009-10-27,,19,Janine,Mike Doughty,mike-doughty,,,Is that a “nine” in the song name?
wfit,no,2009-10-27,,20,BREAK
wfit,no,2009-10-27,,21,Solid Gold,Eagles of Death Metal,eagles-of-death-metal,,4:20,Big howdy to Forest Hale
wfit,no,2009-10-27,,22,All or Nothing,Derby,derby,,,Is this really music for girls?
wfit,no,2009-10-27,,23,Back Of Your Mind,Danielle Howle,danielle-howle,,,A live track
wfit,no,2009-10-27,,24,Central Park,Dopo Yume,dopo-yume,,,"Dance, sad people! Dance!"
wfit,no,2009-10-27,,25,BREAK
wfit,no,2009-10-27,,26,Julianne,Ben Folds Five,ben-folds-five,,2:31,Second Axl Rose reference of the evening
wfit,no,2009-10-27,,27,Headphones,Illinois,illinois,,,Lo-fi in the best manner possible
wfit,no,2009-10-27,,28,Shake That Thing,Vince Giordano And His Nighthawks Orchestra,vince-giordano-his-nighthawks-orchestra,,,Dixieland mania from the Aviator soundtrack
wfit,no,2009-10-27,,29,Make A Move Feat. Wunmi,Truby Trio,truby-trio,,,The distinctive mix-n-match of the Truby Trio
wfit,no,2009-10-27,,30,BREAK
wfit,no,2009-10-27,,31,The Millionaire's Holiday,Combustible Edison,combustible-edison,,2:15,"Far out, man!"
wfit,no,2009-10-27,,32,Around The World,Daft Punk,daft-punk,,,By request from young Ethan B. Lacking
wfit,no,2009-10-27,,33,On Tape,Tullycraft,tullycraft,,,“I’ve got the Fabulous Stains soundtrack... on tape!”
wfit,no,2009-10-27,,34,BREAK
wfit,no,2009-10-27,,35,Roforofo Fight,Fela Ransome Kuti & Africa 70,fela-ransome-kuti-africa-70,,,Zone out!
wfit,no,2009-11-03,,1,Black Dog,Dread Zeppelin,dread-zeppelin,,,A feisty melange
wfit,no,2009-11-03,,2,BREAK
wfit,no,2009-11-03,,3,Hands All Over,Soundgarden,soundgarden,,,Howling monstrosity
wfit,no,2009-11-03,,4,Perro Loco,Forro In The Dark,forro-in-dark,,3:23,Brazil via NYC
wfit,no,2009-11-03,,5,Peanut Butter Oven,Thee Oh Sees,thee-oh-sees,,,Haunting
wfit,no,2009-11-03,,6,Clampdown,The Clash,clash,,,From London Calling
wfit,no,2009-11-03,,7,BREAK
wfit,no,2009-11-03,,8,Gatorade,Heavy Trash,heavy-trash,,2:29,Wooooo.... boosexposion!
wfit,no,2009-11-03,,9,Lonesome Graveyard,House of Freaks,house-of-freaks,,2:35,Spookiness incarnate
wfit,no,2009-11-03,,10,The Bar Is Too Low To Fail,Boat,boat,,,Failure is not an option.
wfit,no,2009-11-03,,11,BREAK
wfit,no,2009-11-03,,12,"Hey, Won't Somebody Come Out and Play",The Little Ones,little-ones,,,Yo Gabba Gabba!
wfit,no,2009-11-03,,13,Backpedal,Steward,steward,,,Dithery noise wrapped around some Trio
wfit,no,2009-11-03,,14,Sink To The Bottom,Fountains Of Wayne,fountains-of-wayne,,,Out-weezered!
wfit,no,2009-11-03,,15,Sixteen Tons,Tennessee Ernie Ford,tennessee-ernie-ford,,,Big finish!
wfit,no,2009-11-03,,16,BREAK
wfit,no,2009-11-03,,17,Go Freaks Go,Brainiac,brainiac,,,Angular as all get out
wfit,no,2009-11-03,,18,On Foreigner,Islands,islands,,,"I miss the Unicorns... Islands is good, though"
wfit,no,2009-11-03,,19,D. Boon,Uncle Tupelo,uncle-tupelo,,,Ode to the Minutemen!
wfit,no,2009-11-03,,20,Soon,My Bloody Valentine,my-bloody-valentine,,,Swoon! Moon!
wfit,no,2009-11-03,,21,BREAK
wfit,no,2009-11-03,,22,I'm A Wreck,Mojo Nixon,mojo-nixon,,,"Tell it like it is, Mojo"
wfit,no,2009-11-03,,23,John the Fisherman,Primus,primus,,,Begin the snark
wfit,no,2009-11-03,,24,Last Cigarette,Dramarama,dramarama,,,From the WFIT Fall 1989 Sampler
wfit,no,2009-11-03,,25,BREAK
wfit,no,2009-11-03,,26,Man Vs. Nature,Killdozer,killdozer,,,"So realistic, yet just another film by the master of realism"
wfit,no,2009-11-03,,27,Taco Wagon,Young Fresh Fellows,young-fresh-fellows,,,Now I’m hungry for tacos
wfit,no,2009-11-03,,28,Ska Trek,Tack>>Head,tack-head,,,All too brief
wfit,no,2009-11-03,,29,Mouth Breather,The Jesus Lizard,jesus-lizard,,,"Don’t get me wrong, he’s a nice guy... but he’s a mouth breather"
wfit,no,2009-11-03,,30,BREAK
wfit,no,2009-11-03,,31,Decline And Fall,Flesh For Lulu,flesh-for-lulu,,,Played at the gym here at Florida Tech
wfit,no,2009-11-03,,32,Cut Your Hair,Pavement,pavement,,,"Oops, wrong decade"
wfit,no,2009-11-03,,33,Buffalo,Stump,stump,,,Strangeness abounds
wfit,no,2009-11-03,,34,Caribou,Pixies,pixies,,,For our female Canadian listeners
wfit,no,2009-11-03,,35,BREAK
wfit,no,2009-11-03,,36,Only A Lad,Oingo Boingo,oingo-boingo,,,A delightful lydian composition
wfit,no,2009-11-03,,37,Heartbeat,Big Black,big-black,,,Originally by Wire
wfit,no,2009-11-03,,38,Balloon Man,Robyn Hitchcock,robyn-hitchcock,,,His name was probably Bruce
wfit,no,2009-11-03,,39,Mountain Song,Jane's Addiction,jane-s-addiction,,,The tasteful playing of Dave Navarro
wfit,no,2009-11-03,,40,BREAK
wfit,no,2009-11-03,,41,Stigmata,Ministry,ministry,,,Bludgeon me with flanger
wfit,no,2009-11-10,,1,Pepe Y Irene,Money Mark,money-mark,,,By Los Lobos!
wfit,no,2009-11-10,,2,BREAK
wfit,no,2009-11-10,,3,Peacebone,Animal Collective,animal-collective,,,Gurgly folktronica
wfit,no,2009-11-10,,4,Go Shopping,Bran Van 3000,bran-van-3000,,2:52,New BV3K album on its way...
wfit,no,2009-11-10,,5,Buckle Down,Busy Signals,busy-signals,,,With Har Mar Superstar
wfit,no,2009-11-10,,6,Gunslinging Bird,Chuck D,chuck-d,,,From the Weird Nightmare tribute to Mingus
wfit,no,2009-11-10,,7,BREAK
wfit,no,2009-11-10,,8,Sinnerman (Felix Da Housecat's Heavenly House Mix),Nina Simone,nina-simone,,,Nice combination
wfit,no,2009-11-10,,9,English Towns,The Stranglers,stranglers,,2:12,"Hey, Stranglers!"
wfit,no,2009-11-10,,10,I Wanna Be With You,The Sneetches With Shoes,sneetches-with-shoes,,,20 Explosive Dynamic Super Smash Hit Explosions!
wfit,no,2009-11-10,,11,Skin Game,Holy Modal Rounders,holy-modal-rounders,,,Re-released on demand...
wfit,no,2009-11-10,,12,BREAK
wfit,no,2009-11-10,,13,Lobachevsky,Tom Lehrer,tom-lehrer,,,Wisdom from Harvard
wfit,no,2009-11-10,,14,All Rooms Cable A/C Free Coffee,The Extra Glenns,extra-glenns,,,John Darnielle and Franklin Bruni
wfit,no,2009-11-10,,15,Instrumental,The Oranges Band,oranges-band,,,Not really an instrumental
wfit,no,2009-11-10,,16,Traffic Light,The Ting Tings,ting-tings,,,British aren’t they?
wfit,no,2009-11-10,,17,BREAK
wfit,no,2009-11-10,,18,Can't Find My Way Home,Blind Faith,blind-faith,,3:16,I knew I’d get some calls on this one...
wfit,no,2009-11-10,,19,Dead And Drugged,Beekeeper,beekeeper,,,This reminds me of being woozy in NYC
wfit,no,2009-11-10,,20,I Can't Stand Your Face,Bag,bag,,2:37,Happy bouncy nastiness
wfit,no,2009-11-10,,21,Disco Paradise,VHS Or Beta,vhs-or-beta,,,"Disco paradise, indeed..."
wfit,no,2009-11-10,,22,BREAK
wfit,no,2009-11-10,,23,Giga Dance,Deerhoof,deerhoof,,,Soundtrack to your nightmares
wfit,no,2009-11-10,,24,Say When,Chandler Travis Philharmonic,chandler-travis-philharmonic,,,Big and complicated
wfit,no,2009-11-10,,25,Let The Sky Fall,Ten Years After,ten-years-after,,,Manny’s first concert!
wfit,no,2009-11-10,,26,Levakesh Het A Kesh,Shabat Samech,shabat-samech,,,Israeli khip-khop
wfit,no,2009-11-10,,27,BREAK
wfit,no,2009-11-10,,28,Neighborhood Watch (We Call Police),Emperor Penguin,emperor-penguin,,,We call police!
wfit,no,2009-11-10,,29,Thinking Of You,The Blue Beats,blue-beats,,,From my all-time favorite ska compilation
wfit,no,2009-11-10,,30,Allergic To Myself,Cows,cows,,,"Hit that whorn, Shannon"
wfit,no,2009-11-10,,31,Ready To Die,The Unicorns,unicorns,,,One album was not enough
wfit,no,2009-11-10,,32,BREAK
wfit,no,2009-11-10,,33,Brooklyn and In Love,Andrew Phillip Tipton,andrew-phillip-tipton,,,The lowest of the lo-fi... I dig it
wfit,no,2009-11-10,,34,Wisdom Tooth,Creedle,creedle,,,An insistent buzz of laughing gas
wfit,no,2009-11-10,,35,Love Crushing,Fetchin Bones,fetchin-bones,,,A big hit right here 20 years ago
wfit,no,2009-11-10,,36,In Canada,BJ Snowden,bj-snowden,,,Outsider.... way outsider
wfit,no,2009-11-10,,37,BREAK
wfit,no,2009-11-10,,38,Timber,Neko Case,neko-case,,,An older Neko track... still unmistakable
wfit,no,2009-11-10,,39,You Keep It All In,The Beautiful South,beautiful-south,,,With members of the Housemartins
wfit,no,2009-11-10,,40,General Hugging Center,Ray Wonder,ray-wonder,,,"From NORTHERN Sweden, I think"
wfit,no,2009-11-10,,41,Swingin' Spaceman,Tipsy,tipsy,,,Broadcasting from MIR
wfit,no,2009-11-10,,42,BREAK
wfit,no,2009-11-10,,43,Donna Diaspora,Shantel,shantel,,,Romaniamania!
podcast,no,2009-11-11,0026,1,Silver Or Lead,The Bronx,bronx,,,Nice time signature changes
podcast,no,2009-11-11,0026,2,Dumbala Dumba,DJ Dolores vs. Taraf de Haïdouks,dj-dolores-vs-taraf-de-haidouks,,,Minimalist as always
podcast,no,2009-11-11,0026,3,Doo Right,Man Man,man-man,,,Tragic
podcast,no,2009-11-11,0026,4,BREAK
podcast,no,2009-11-11,0026,5,Dimestore Diamond,Gossip,gossip,,,From their forthcoming album
podcast,no,2009-11-11,0026,6,La Verdad (Featuring Rubi),Mastretta,mastretta,,,Feeling Spanish and cinematic
podcast,no,2009-11-11,0026,7,I Want You To Keep Everything,These United States,these-united-states,,,"Sounding a lot like Tom Petty, hmmmm..."
podcast,no,2009-11-11,0026,8,BREAK
podcast,no,2009-11-11,0026,9,Piranas Are A Very Tricky Species,Mark Mothersbaugh,mark-mothersbaugh,,1:20,One of the best soundtracks ever
podcast,no,2009-11-11,0026,10,The Tide Is High,Petty Booka,petty-booka,,,How can they be resisted?
podcast,no,2009-11-11,0026,11,Lowdown,My Morning Jacket,my-morning-jacket,,,Jim Jame’s unmistakable silo howl
podcast,no,2009-11-11,0026,12,She's on Drugs,The Jazz Butcher,jazz-butcher,,,She can dance!
podcast,no,2009-11-11,0026,13,BREAK
podcast,no,2009-11-11,0026,14,Sweatshop,Brazilian Girls,brazilian-girls,,,"Slow and flowing, and an awful lot like Stereolab"
podcast,no,2009-11-11,0026,15,My Strange Uncles From Abroad,Gogol Bordello,gogol-bordello,,5:20,Those rowdy Ukranians
podcast,no,2009-11-11,0026,16,Happiness Is a Warm Gun,Marc Ribot,marc-ribot,,,Can you parse the sparseness?
podcast,no,2009-11-11,0026,17,Detour,Bis,bis,,,Scottish? Indeed
podcast,no,2009-11-11,0026,18,BREAK
podcast,no,2009-11-11,0026,19,Welcome To Lunar Industries,Clint Mansell,clint-mansell,,,From the soundtrack to Moon
podcast,no,2009-11-13,0027,1,Ranking Full Stop,English Beat,english-beat,,,Are you ready? Are you ready to stop?
podcast,no,2009-11-13,0027,2,Jealous Guy,Art Brut,art-brut,,,From 2007’s It’s A Bit Complicated
podcast,no,2009-11-13,0027,3,Don't Touch Me,Brak,brak,,0:51,Um. It’s Brak.
podcast,no,2009-11-13,0027,4,Diary Of Lost Girl,Christian Zimmerman,christian-zimmerman,,,Smooth and vaguely Brazilian
podcast,no,2009-11-13,0027,5,BREAK
podcast,no,2009-11-13,0027,6,Kiko And The Lavender Moon,Los Lobos,los-lobos,,,Spooky and catlike
podcast,no,2009-11-13,0027,7,Napiers,The Wrens,wrens,,,Shards of sonic glass
podcast,no,2009-11-13,0027,8,The Piano Has Been Drinkin' (Not Me),Dan Hicks,dan-hicks,,3:30,"Like Tom Waits, only intelligible"
podcast,no,2009-11-13,0027,9,2000 E Agarrum,Os Mutantes,os-mutantes,,,A return to form
podcast,no,2009-11-13,0027,10,BREAK
podcast,no,2009-11-13,0027,11,Ocean Man,Ween,ween,,2:07,As heard on the Spongebob Squarepants movie
podcast,no,2009-11-13,0027,12,Ambulance,Simian Mobile Disco,simian-mobile-disco,,Whooping its way through,Fun ride to the hospital
podcast,no,2009-11-13,0027,13,Crying Lightning,Arctic Monkeys,arctic-monkeys,,,"Quite fun, chaps"
podcast,no,2009-11-13,0027,14,In The Hours Of Flowers,Vells,vells,,,"Vellvety, har"
podcast,no,2009-11-13,0027,15,BREAK
